code,units,price,date,fee
ALU,70,28.38,23/04/2021,9.5
ELD,161,12.3796,23/04/2021,9.5
CL1,1212,1.65,23/04/2021,9.5
SFC,91,21.75,23/04/2021,9.5
CAT,966,2.07,23/04/2021,9.5
LFG,262,7.6,23/04/2021,9.5
DOW,355,5.6292,6/05/2021,9.5
DSK,559,3.53,6/05/2021,9.5
NAB,75,26.43,23/04/2021,9.5
BKW,97,20.6,23/04/2021,9.5
CL1,-1212,1.83,6/09/2021,9.5
DOW,-355,6.35,6/09/2021,9.5
ELD,-161,11.83,6/09/2021,9.5
CGC,698,3.155,6/09/2021,9.5
NAB,31,28.67,6/09/2021,9.5
PDL,240,8.905,6/09/2021,9.5
XF1,3150,0.475,6/09/2021,9.5
CASH_FLOW,,20000,22/04/2021,
CASH_FLOW,,400,6/09/2021,
DIVIDEND,,45,2/07/2021,
DIVIDEND,,32.2,18/06/2021,
DIVIDEND,,63.95,31/08/2021,
