code,units,price,date,fee
ALU,70,28.38,23/04/2021,9.5
ELD,161,12.3796,23/04/2021,9.5
CL1,1212,1.65,23/04/2021,9.5
SFC,91,21.75,23/04/2021,9.5
CAT,966,2.07,23/04/2021,9.5
LFG,262,7.6,23/04/2021,9.5
DOW,355,5.6292,6/05/2021,9.5
DSK,559,3.53,6/05/2021,9.5
NAB,75,26.43,23/04/2021,9.5
BKW,97,20.6,23/04/2021,9.5
CL1,-1212,1.83,6/09/2021,9.5
DOW,-355,6.35,6/09/2021,9.5
ELD,-161,11.83,6/09/2021,9.5
CGC,698,3.155,6/09/2021,9.5
NAB,31,28.67,6/09/2021,9.5
PDL,240,8.905,6/09/2021,9.5
XF1,3150,0.475,6/09/2021,9.5
ALU,-25,36.06,17/09/2021,9.5
DSK,-559,3.28,12/10/2021,9.5
A2M,172,5.8,12/10/2021,9.5
XF1,-1396,0.63,12/10/2021,9.5
GEM,1545,1.165,12/10/2021,9.5
SFC,-62,20.7,20/04/2022,9.5
SFC,-23,20.7,21/04/2022,9.5
CSL,7,270.45,22/04/2022,9.5
XF1,-1754,0.53,23/05/2022,9.5
PXA,65,15.395,23/05/2022,9.5
A2B,915,1.09,27/10/2022,9.5
PXA,-65,14.221077,18/10/2022,9.5
ALU,-45,35.98,18/10/2022,9.5
CASH_FLOW,Initial,20000,22/04/2021,
CASH_FLOW,More funds,400,6/09/2021,
CASH_FLOW,Foodbank,-1000,12/10/2021,
DIVIDEND,NAB,45,2/07/2021,
DIVIDEND,ELD,32.2,18/06/2021,
DIVIDEND,LFG,63.93,31/08/2021,
DIVIDEND,SFC,40.95,17/09/2021,
DIVIDEND,DOW,42.6,23/09/2021,
DIVIDEND,CL1,30.3,23/09/2021,
DIVIDEND,DSK,55.9,24/09/2021,
DIVIDEND,ALU,14.7,28/09/2021,
DIVIDEND,BKW,38.8,24/11/2021,
DIVIDEND,SFC,40.95,11/03/2022,
DIVIDEND,LFG,55.02,15/12/2021,
DIVIDEND,NAB,71.02,15/12/2021,
DIVIDEND,SFC,9.45,22/03/2022,
DIVIDEND,A2M,21.34,3/05/2022,
DIVIDEND,CGC,27.92,7/10/2021,
DIVIDEND,PDL,57.6,16/12/2021,
DIVIDEND,GEM,46.35,1/04/2022,
DIVIDEND,CGC,34.9,7/04/2022,
DIVIDEND,PDL,50.4,1/07/2022,
DIVIDEND,NAB,77.38,1/07/2022,
